author,creator,date,description,result,n,doppler_ratio,sampling_ratio,std
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_1s,25.2,1,100.0,100.0,
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_10s,24.7,1,100.0,100.0,0.62
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_10s,24.1,2,100.0,100.0,0.31
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_10s,24.0,3,100.0,100.0,0.45
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_10s,23.9,4,100.0,100.0,0.56
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_10s,23.5,5,100.0,100.0,0.17
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_500m,23.8,1,100.0,100.0,1.41
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_1000m,20.4,1,100.0,100.0,2.75
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,planning_ratio>12,83.0,1,,,
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,Vmoy>12,17.4,1,,,
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_jibe,14.2,1,100.0,100.0,1.56
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_jibe,13.6,2,100.0,100.0,2.13
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_jibe,13.6,3,100.0,100.0,2.34
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_jibe,13.2,4,100.0,100.0,2.48
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,vmax_jibe,13.1,5,100.0,100.0,2.66
2020-07-29-1640_2020-07-29,onandon.be Motion,2020-07-29,planning_distance>12,27.9,1,,,
